Day, Susceptible, Infected, Recovered, Dead, Detection Probability, R₀, Latent, Prodromal, Symptomless Infectious, Sick, Hospitalized, ICU, Isolated, Home Isolated, Infections, Sick, Med. Consult., Hospitalizations, ICU Adm., Deaths, Infections, Sick
196,53022221.5110684,9857564.93993343,22047084.1230054,73129.4259929888,1,3,2625369.59775478,663718.066000313,2758760.4559949,3809716.82018344,171437.256908255,42859.3142270637,0,3809716.82018344,31976778.4889318,16639440.6786025,6655776.271441,748774.830537113,187193.707634278,73129.4259929888,644085.404167335,384913.522950141
197,52378136.1069011,9860725.64839642,22685889.9216658,75248.3230369873,1,3,2608183.45324477,661345.609591201,2768302.56593539,3822894.01962506,172030.230883128,43007.5577207819,0,3822894.01962506,32620863.8930991,17024354.2015526,6809741.68062106,766095.939069869,191523.984767467,75248.3230369873,637785.064713012,383089.498853248
198,51740351.0421881,9852134.25243526,23330129.461761,77385.2436159761,1,3,2587906.31269515,658908.678899958,2774234.08955286,3831085.17128728,172398.832707928,43099.708176982,0,3831085.17128728,33258648.9578122,17407443.7004059,6962977.48016236,783334.966518265,195833.741629566,77385.2436159761,630770.332298808,382094.724029675
199,51109580.7098893,9831789.91360801,23979091.5477843,79537.8287187189,1,3,2564622.10914836,654179.207797845,2777455.21059796,3835533.38606385,172599.002372873,43149.7505932183,0,3835533.38606385,33889419.290111,17789538.4244356,7115815.36977423,800529.2290996,200132.3072749,79537.8287187189,623078.297253221,379337.673020471
200,50486502.4126361,9799753.42256462,24632040.5265908,81703.6382088275,1,3,2538435.30642611,649413.837048373,2776999.79721786,3834904.48187228,172570.701684253,43142.6754210632,0,3834904.48187228,34512497.5873642,18168876.097456,7267550.43898241,817599.424385522,204399.85609638,81703.6382088275,614738.413043693,376417.472977191
201,49871763.9995924,9756136.41551735,25288219.4236629,83880.1612276483,1,3,2509459.63611356,644132.277340492,2773068.69086658,3829475.81119671,172326.411503852,43081.602875963,0,3829475.81119671,35127236.0004079,18545293.5704332,7418117.42817329,834538.210669495,208634.552667374,83880.1612276483,605786.442388728,373483.145578928
202,49265977.5572036,9701104.28080013,25946853.334553,86064.8274435606,1,3,2477819.85511473,637622.042833374,2765978.20079785,3819684.18205418,171885.788192438,42971.4470481095,0,3819684.18205418,35733022.4427966,18918776.7160122,7567510.68640486,851344.952220547,212836.238055137,86064.8274435606,596263.937638074,369073.28181326
203,48669713.6195656,9634878.63289598,26607152.7295254,88255.0180133632,1,3,2443655.06225925,631717.52882131,2754992.53756248,3804513.50425295,171203.107691383,42800.7769228456,0,3804513.50425295,36329286.3804347,19287849.9978254,7715139.99913017,867953.249902144,216988.312475536,88255.0180133632,586203.683895849,366257.227639623
204,48083509.9356697,9557724.63454212,27268317.3512776,90448.0785108808,1,3,2407106.52362038,622991.772667046,2741603.06206697,3786023.27618772,170371.047428447,42592.7618571119,0,3786023.27618772,36915490.0643305,19654107.225465,7861642.89018602,884434.825145927,221108.706286482,90448.0785108808,575656.19413843,361184.774796192
205,47507853.7415313,9469965.12695994,27929539.8006883,92641.3308207691,1,3,2368333.07401379,614689.046073811,2724516.06288638,3762426.94398596,169309.212479368,42327.303119842,0,3762426.94398596,37491146.258469,20015292.0002612,8006116.80010449,900688.140011755,225172.035002939,92641.3308207691,564658.614773542,356146.331575952
